timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1729908126.0421,3,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,19,547000000,20,100,0,167325,11044174,8806.578947368422,0.00030589579524680074,581272.3157894737,0.020190446069469837,0
1729908126.0421,3,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,19,565000000,20,100,0,341311,15648349478,17963.736842105263,0.0006040902654867256,823597340.9473684,27.69619376637168,0
1729908126.0421,3,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,-1,-1,9,491000000,20,100,0,807,1220184,89.66666666666667,1.6435845213849287e-06,135576.0,0.0024850997963340123,0
1729908126.0421,3,10.0.0.155074110.0.0.750511,10.0.0.15,50741,10.0.0.7,5051,1,0,8,19,584000000,20,100,0,18,1764,0.9473684210526315,3.082191780821918e-08,92.84210526315789,3.0205479452054795e-06,0
1729908126.0421,3,10.0.0.75074110.0.0.1550511,10.0.0.7,50741,10.0.0.15,5051,1,0,0,19,579000000,20,100,0,18,1764,0.9473684210526315,3.1088082901554407e-08,92.84210526315789,3.0466321243523317e-06,0
1729908136.041707,4,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,29,542000000,20,100,0,167325,11044174,5769.827586206897,0.00030871771217712177,380833.5862068966,0.02037670479704797,0
1729908136.041707,4,10.0.0.18010.0.0.15365426,10.0.0.1,80,10.0.0.15,36542,6,-1,-1,9,375000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.041707,4,10.0.0.18010.0.0.15365486,10.0.0.1,80,10.0.0.15,36548,6,-1,-1,9,329000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.041707,4,10.0.0.1505110.0.0.155074117,10.0.0.1,5051,10.0.0.15,50741,17,-1,-1,9,430000000,20,100,0,1,170,0.1111111111111111,2.3255813953488372e-09,18.88888888888889,3.9534883720930234e-07,0
1729908136.041707,4,10.0.0.15505110.0.0.1507411,10.0.0.15,5051,10.0.0.1,50741,1,3,3,9,413000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.041707,4,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,3,3,29,566000000,20,100,0,341311,15648349478,11769.344827586207,0.0006030229681978799,539598257.862069,27.647260561837456,0
1729908136.041707,4,10.0.0.153654210.0.0.1806,10.0.0.15,36542,10.0.0.1,80,6,3,3,9,400000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.041707,4,10.0.0.153654810.0.0.1806,10.0.0.15,36548,10.0.0.1,80,6,3,3,9,350000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.041707,4,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,3,3,19,491000000,20,100,0,897,1356264,47.21052631578947,1.8268839103869654e-06,71382.31578947368,0.0027622484725050916,0
1729908136.041707,4,10.0.0.155074110.0.0.750511,10.0.0.15,50741,10.0.0.7,5051,1,0,8,29,588000000,20,100,0,28,2744,0.9655172413793104,4.761904761904762e-08,94.62068965517241,4.666666666666666e-06,0
1729908136.041707,4,10.0.0.75074110.0.0.1550511,10.0.0.7,50741,10.0.0.15,5051,1,0,0,29,572000000,20,100,0,28,2744,0.9655172413793104,4.895104895104895e-08,94.62068965517241,4.797202797202797e-06,0
1729908136.047508,2,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,29,548000000,20,100,0,167325,11044174,5769.827586206897,0.0003053375912408759,380833.5862068966,0.02015360218978102,0
1729908136.047508,2,10.0.0.18010.0.0.15365426,10.0.0.1,80,10.0.0.15,36542,6,-1,-1,9,380000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.047508,2,10.0.0.18010.0.0.15365486,10.0.0.1,80,10.0.0.15,36548,6,-1,-1,9,336000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.047508,2,10.0.0.1505110.0.0.155074117,10.0.0.1,5051,10.0.0.15,50741,17,-1,-1,9,455000000,20,100,0,3,510,0.3333333333333333,6.5934065934065934e-09,56.666666666666664,1.1208791208791209e-06,0
1729908136.047508,2,10.0.0.1505010.0.0.7462046,10.0.0.1,5050,10.0.0.7,46204,6,-1,-1,9,276000000,20,100,0,149192,9847276,16576.88888888889,0.0005405507246376811,1094141.7777777778,0.03567853623188406,0
1729908136.047508,2,10.0.0.15505010.0.0.1462041,10.0.0.15,5050,10.0.0.1,46204,1,3,3,9,401000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.047508,2,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,3,3,29,560000000,20,100,0,341314,15648349676,11769.448275862069,0.0006094892857142857,539598264.6896552,27.943481564285715,0
1729908136.047508,2,10.0.0.153654210.0.0.1806,10.0.0.15,36542,10.0.0.1,80,6,3,3,9,392000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.047508,2,10.0.0.153654810.0.0.1806,10.0.0.15,36548,10.0.0.1,80,6,3,3,9,345000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.047508,2,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,3,3,19,480000000,20,100,0,897,1356264,47.21052631578947,1.86875e-06,71382.31578947368,0.00282555,0
1729908136.047508,2,10.0.0.74620410.0.0.150506,10.0.0.7,46204,10.0.0.1,5050,6,3,3,9,286000000,20,100,0,302877,13858470650,33653.0,0.0010590104895104894,1539830072.2222223,48.45619108391608,0
1729908136.048393,5,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,29,521000000,20,100,0,167325,11044174,5769.827586206897,0.0003211612284069098,380833.5862068966,0.021198030710172743,0
1729908136.048393,5,10.0.0.18010.0.0.15365426,10.0.0.1,80,10.0.0.15,36542,6,-1,-1,9,371000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
